报道时间,省份,城市,新增确诊,新增出院,新增死亡,消息来源,来源链接1,来源链接2,来源链接3,备注
2020年1月23日,上海,,7,0,0,上海卫健委,http://wsjkw.sh.gov.cn/xwfb/20200123/1b05f22403e741fda34cd49ee430520f.html,,,
2020年1月23日,四川,成都市,2,0,0,健康四川,https://static.cdsb.com/micropub/Articles/202001/5f9dedbae0e51d1199071b851ec5d415.html?fromUdid=CAFF13A7-FEAC-4B72-AE2D-497A40CC5C91,,,
2020年1月23日,四川,达州市,1,0,0,健康四川,https://static.cdsb.com/micropub/Articles/202001/5f9dedbae0e51d1199071b851ec5d415.html?fromUdid=CAFF13A7-FEAC-4B72-AE2D-497A40CC5C91,,,
2020年1月23日,澳门,澳门,1,0,0,央视新闻,https://baijiahao.baidu.com/s?id=1656484101606586033&wfr=spider&for=pc,,,
2020年1月23日,山东,青岛市,2,0,0,山东卫健委,http://www.bjnews.com.cn/news/2020/01/23/678274.html,,,
2020年1月23日,山东,临沂市,2,0,0,山东卫健委,http://www.bjnews.com.cn/news/2020/01/23/678274.html,,,
2020年1月23日,广东,中山市,1,0,0,广东卫计委,https://static.cdsb.com/micropub/Articles/202001/95b60a06036a5aadf2d60f913e7cd296.html?fromUdid=CAFF13A7-FEAC-4B72-AE2D-497A40CC5C91,,,
2020年1月23日,广东,肇庆市,1,0,0,广东卫计委,https://static.cdsb.com/micropub/Articles/202001/95b60a06036a5aadf2d60f913e7cd296.html?fromUdid=CAFF13A7-FEAC-4B72-AE2D-497A40CC5C91,,,
2020年1月23日,广东,广州市,3,0,0,广东卫计委,https://static.cdsb.com/micropub/Articles/202001/95b60a06036a5aadf2d60f913e7cd296.html?fromUdid=CAFF13A7-FEAC-4B72-AE2D-497A40CC5C91,,,
2020年1月23日,广东,深圳市,1,0,0,广东卫计委,https://static.cdsb.com/micropub/Articles/202001/95b60a06036a5aadf2d60f913e7cd296.html?fromUdid=CAFF13A7-FEAC-4B72-AE2D-497A40CC5C91,,,
2020年1月23日,吉林,长春市,1,0,0,吉林卫健委,http://www.xinhuanet.com/politics/2020-01/23/c_1125497780.htm,,,
2020年1月23日,福建,厦门市,1,0,0,福建卫健委,http://www.nbd.com.cn/articles/2020-01-23/1402400.html,,,
2020年1月23日,福建,泉州市,1,0,0,福建卫健委,http://www.nbd.com.cn/articles/2020-01-23/1402400.html,,,
2020年1月23日,福建,宁德市,1,0,0,福建卫健委,http://www.nbd.com.cn/articles/2020-01-23/1402400.html,,,
2020年1月23日,湖南,长沙市,3,0,0,央视新闻,https://baijiahao.baidu.com/s?id=1656488858296147799&wfr=spider&for=pc,,,
2020年1月23日,湖南,永州市,1,0,0,央视新闻,https://baijiahao.baidu.com/s?id=1656488858296147799&wfr=spider&for=pc,,,
2020年1月23日,湖南,郴州市,1,0,0,央视新闻,https://baijiahao.baidu.com/s?id=1656488858296147799&wfr=spider&for=pc,,,
2020年1月23日,辽宁,沈阳市,1,0,0,辽宁卫健委,http://wsjk.ln.gov.cn/wst_wsjskx/202001/t20200123_3728801.html,,,
2020年1月23日,内蒙古,呼伦贝尔市,0,0,0,内蒙古卫健委,http://wjw.nmg.gov.cn/doc/2020/01/23/284985.shtml,,,
2020年1月23日,重庆,涪陵区,1,0,0,重庆卫健委,http://wsjkw.cq.gov.cn/tzgg/20200123/249769.html,,,
2020年1月23日,重庆,永川区,2,0,0,重庆卫健委,http://wsjkw.cq.gov.cn/tzgg/20200123/249769.html,,,
2020年1月23日,贵州,铜仁市,1,0,0,贵州卫健委,http://www.gzhfpc.gov.cn/xwzx_500663/tzgg/202001/t20200123_44747750.html,,,
2020年1月23日,贵州,黔南州,1,0,0,贵州卫健委,http://www.gzhfpc.gov.cn/xwzx_500663/tzgg/202001/t20200123_44747750.html,,,
2020年1月23日,安徽,六安市,1,0,0,安徽卫健委,http://wjw.ah.gov.cn/news_details_53923.html,,,
2020年1月23日,安徽,滁州市,1,0,0,安徽卫健委,http://wjw.ah.gov.cn/news_details_53923.html,,,
2020年1月23日,安徽,阜阳市,1,0,0,安徽卫健委,http://wjw.ah.gov.cn/news_details_53923.html,,,
2020年1月23日,安徽,合肥市,4,0,0,安徽卫健委,http://wjw.ah.gov.cn/news_details_53923.html,,,
2020年1月23日,安徽,亳州市,1,0,0,安徽卫健委,http://wjw.ah.gov.cn/news_details_53923.html,,,
2020年1月23日,江西,南昌市,1,0,0,央视新闻,https://baijiahao.baidu.com/s?id=1656493213891623377&wfr=spider&for=pc,,,
2020年1月23日,甘肃,兰州市,0,0,0,甘肃卫健委,http://wsjk.gansu.gov.cn/single/10910/82938.html,,,
2020年1月23日,浙江,杭州市,5,0,0,浙江卫健委,http://www.zjwjw.gov.cn/art/2020/1/23/art_1202101_41854041.html,,,
2020年1月23日,浙江,宁波市,2,0,0,浙江卫健委,http://www.zjwjw.gov.cn/art/2020/1/23/art_1202101_41854041.html,,,
2020年1月23日,浙江,温州市,2,0,0,浙江卫健委,http://www.zjwjw.gov.cn/art/2020/1/23/art_1202101_41854041.html,,,
2020年1月23日,浙江,绍兴市,1,0,0,浙江卫健委,http://www.zjwjw.gov.cn/art/2020/1/23/art_1202101_41854041.html,,,
2020年1月23日,浙江,金华市,1,0,0,浙江卫健委,http://www.zjwjw.gov.cn/art/2020/1/23/art_1202101_41854041.html,,,
2020年1月23日,浙江,衢州市,1,0,0,浙江卫健委,http://www.zjwjw.gov.cn/art/2020/1/23/art_1202101_41854041.html,,,
2020年1月23日,浙江,台州市,5,0,0,浙江卫健委,http://www.zjwjw.gov.cn/art/2020/1/23/art_1202101_41854041.html,,,
2020年1月23日,黑龙江,哈尔滨市,1,0,0,黑龙剑卫健委,http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7698/navid/42/id/3,,,
2020年1月23日,浙江,温州市,0,1,0,温州市中心医院,https://mp.weixin.qq.com/s/SMyWlpFu8K8NQCxptU8V9g,,,
2020年1月23日,福建,福州市,1,0,0,福州省卫健委,http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202001/t20200123_5186295.htm,,,
2020年1月23日,福建,厦门市,0,0,0,福州省卫健委,http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202001/t20200123_5186295.htm,,,
2020年1月23日,广东,深圳市,0,2,0,新京报,http://www.bjnews.com.cn/news/2020/01/23/678480.html,,,
2020年1月23日,新疆,乌鲁木齐市,2,0,0,新疆维吾尔自治区卫生健康委,https://m.thepaper.cn/newsDetail_forward_5612724,,,
2020年1月23日,陕西,咸阳市,1,0,0,人民日报,https://baijiahao.baidu.com/s?id=1656512793207129416&wfr=spider&for=pc,,,
2020年1月23日,陕西,西安市,2,0,0,人民日报,https://baijiahao.baidu.com/s?id=1656512793207129416&wfr=spider&for=pc,,,
2020年1月23日,北京,西城区,1,0,0,北京卫健委,http://www.nbd.com.cn/articles/2020-01-23/1402510.html,https://baijiahao.baidu.com/s?id=1656512457396476506&wfr=spider&for=pc,,
2020年1月23日,北京,朝阳区,1,0,0,北京卫健委,http://www.nbd.com.cn/articles/2020-01-23/1402510.html,https://baijiahao.baidu.com/s?id=1656512457396476506&wfr=spider&for=pc,,
2020年1月23日,北京,海淀区,1,0,0,北京卫健委,http://www.nbd.com.cn/articles/2020-01-23/1402510.html,https://baijiahao.baidu.com/s?id=1656512457396476506&wfr=spider&for=pc,,
2020年1月23日,北京,通州区,1,0,0,北京卫健委,http://www.nbd.com.cn/articles/2020-01-23/1402510.html,https://baijiahao.baidu.com/s?id=1656512457396476506&wfr=spider&for=pc,,
2020年1月23日,北京,外地来京,4,0,0,北京卫健委,http://www.nbd.com.cn/articles/2020-01-23/1402510.html,https://baijiahao.baidu.com/s?id=1656512457396476506&wfr=spider&for=pc,,
2020年1月23日,香港,,2,0,0,香港卫生署,https://m.thepaper.cn/newsDetail_forward_5612815,,,
2020年1月23日,新加坡,,1,0,0,新加坡卫生部,https://baijiahao.baidu.com/s?id=1656525391955084301&wfr=spider&for=pc,,,
2020年1月23日,江苏,南京市,2,0,0,江苏卫健委,http://news.sina.com.cn/o/2020-01-23/doc-iihnzahk6033267.shtml,,,
2020年1月23日,江苏,连云港市,1,0,0,江苏卫健委,http://news.sina.com.cn/o/2020-01-23/doc-iihnzahk6033267.shtml,,,
